Time,Temperature
2026-08-06T00:00,23.2
2026-08-06T01:00,23.3
2026-08-06T02:00,23.4
2026-08-06T03:00,24.6
2026-08-06T04:00,25.9
2026-08-06T05:00,24.8
2026-08-06T06:00,26.2
2026-08-06T07:00,26.8
2026-08-06T08:00,25.7
2026-08-06T09:00,26.5
2026-08-06T10:00,26.0
2026-08-06T11:00,26.5
2026-08-06T12:00,25.2
2026-08-06T13:00,24.2
2026-08-06T14:00,23.7
2026-08-06T15:00,23.6
2026-08-06T16:00,23.4
2026-08-06T17:00,23.6
2026-08-06T18:00,23.4
2026-08-06T19:00,23.1
2026-08-06T20:00,23.0
2026-08-06T21:00,23.1
2026-08-06T22:00,22.8
2026-08-06T23:00,23.1
2026-08-07T00:00,22.9
2026-08-07T01:00,22.8
2026-08-07T02:00,23.2
2026-08-07T03:00,23.6
2026-08-07T04:00,24.8
2026-08-07T05:00,26.2
2026-08-07T06:00,26.8
2026-08-07T07:00,26.2
2026-08-07T08:00,27.1
2026-08-07T09:00,26.7
2026-08-07T10:00,26.4
2026-08-07T11:00,26.0
2026-08-07T12:00,25.4
2026-08-07T13:00,23.9
2026-08-07T14:00,23.4
2026-08-07T15:00,23.1
2026-08-07T16:00,23.4
2026-08-07T17:00,23.4
2026-08-07T18:00,23.1
2026-08-07T19:00,23.0
2026-08-07T20:00,23.2
2026-08-07T21:00,23.2
2026-08-07T22:00,23.2
2026-08-07T23:00,23.2
2026-08-08T00:00,23.1
2026-08-08T01:00,23.0
2026-08-08T02:00,23.3
2026-08-08T03:00,24.0
2026-08-08T04:00,24.9
2026-08-08T05:00,26.1
2026-08-08T06:00,26.9
2026-08-08T07:00,27.0
2026-08-08T08:00,26.7
2026-08-08T09:00,27.3
2026-08-08T10:00,26.5
2026-08-08T11:00,26.4
2026-08-08T12:00,25.2
2026-08-08T13:00,24.3
2026-08-08T14:00,23.6
2026-08-08T15:00,23.5
2026-08-08T16:00,23.5
2026-08-08T17:00,23.5
2026-08-08T18:00,23.4
2026-08-08T19:00,23.4
2026-08-08T20:00,23.2
2026-08-08T21:00,23.2
2026-08-08T22:00,23.3
2026-08-08T23:00,23.3
2026-08-09T00:00,23.3
2026-08-09T01:00,23.0
2026-08-09T02:00,23.5
2026-08-09T03:00,23.9
2026-08-09T04:00,25.1
2026-08-09T05:00,26.0
2026-08-09T06:00,27.0
2026-08-09T07:00,27.0
2026-08-09T08:00,27.2
2026-08-09T09:00,27.3
2026-08-09T10:00,26.9
2026-08-09T11:00,26.1
2026-08-09T12:00,25.7
2026-08-09T13:00,24.7
2026-08-09T14:00,23.8
2026-08-09T15:00,23.6
2026-08-09T16:00,23.5
2026-08-09T17:00,23.6
2026-08-09T18:00,23.6
2026-08-09T19:00,23.5
2026-08-09T20:00,23.4
2026-08-09T21:00,23.3
2026-08-09T22:00,23.2
2026-08-09T23:00,23.0
2026-08-10T00:00,23.1
2026-08-10T01:00,23.3
2026-08-10T02:00,23.6
2026-08-10T03:00,24.1
2026-08-10T04:00,25.1
2026-08-10T05:00,26.2
2026-08-10T06:00,27.0
2026-08-10T07:00,27.2
2026-08-10T08:00,27.1
2026-08-10T09:00,26.9
2026-08-10T10:00,26.5
2026-08-10T11:00,25.9
2026-08-10T12:00,25.3
2026-08-10T13:00,24.6
2026-08-10T14:00,23.9
2026-08-10T15:00,23.4
2026-08-10T16:00,23.3
2026-08-10T17:00,23.4
2026-08-10T18:00,23.4
2026-08-10T19:00,23.4
2026-08-10T20:00,23.3
2026-08-10T21:00,23.2
2026-08-10T22:00,23.1
2026-08-10T23:00,22.9
2026-08-11T00:00,22.9
2026-08-11T01:00,23.2
2026-08-11T02:00,23.7
2026-08-11T03:00,24.4
2026-08-11T04:00,25.2
2026-08-11T05:00,26.1
2026-08-11T06:00,26.7
2026-08-11T07:00,26.8
2026-08-11T08:00,26.6
2026-08-11T09:00,26.3
2026-08-11T10:00,25.9
2026-08-11T11:00,25.4
2026-08-11T12:00,24.8
2026-08-11T13:00,24.3
2026-08-11T14:00,23.9
2026-08-11T15:00,23.5
2026-08-11T16:00,23.4
2026-08-11T17:00,23.4
2026-08-11T18:00,23.4
2026-08-11T19:00,23.3
2026-08-11T20:00,23.2
2026-08-11T21:00,23.2
2026-08-11T22:00,22.9
2026-08-11T23:00,23.0
2026-08-12T00:00,23.2
2026-08-12T01:00,23.6
2026-08-12T02:00,24.2
2026-08-12T03:00,24.9
2026-08-12T04:00,25.6
2026-08-12T05:00,26.2
2026-08-12T06:00,26.5
2026-08-12T07:00,26.6
2026-08-12T08:00,26.6
2026-08-12T09:00,26.4
2026-08-12T10:00,26.1
2026-08-12T11:00,25.8
2026-08-12T12:00,25.6
2026-08-12T13:00,25.3
2026-08-12T14:00,25.0
2026-08-12T15:00,24.6
2026-08-12T16:00,24.3
2026-08-12T17:00,24.0
2026-08-12T18:00,23.7
2026-08-12T19:00,23.5
2026-08-12T20:00,23.4
2026-08-12T21:00,23.2
2026-08-12T22:00,23.2
2026-08-12T23:00,23.2
